id1,id2,ra1,de1,plx1,plx2,pmra1,pmde1,pmra2,pmde2,epmra1,epmde1,epmra2,epmde2,g1,g2,mh1,mh2,sep_asec
950395654664758272,950395658954590080,104.1193369669315,40.0828516155862,39.92520183000646,39.86982798971714,116.55701656502224,-431.28099896395156,116.7296680335966,-436.69706772045515,0.0189944,0.017390084,0.01938021,0.0180141,10.298881,8.68669,,,37.89522695623351
3234202767225173760,3234202771520965248,80.41446589182839,1.7491147878460565,24.660075890818355,24.690581922888992,51.05262452284631,6.045264851297384,50.95044423590717,5.956584505830492,0.023221359,0.01558375,0.045778383,0.030557357,14.042468,15.437698,,,44.7871075618369
3239798461074336512,3239798461074336640,75.86018446662146,5.096021631193613,20.7689150852671,20.74418503381639,-186.28728876158533,-183.94676565059714,-181.64207782656274,-188.67754325008354,0.017348953,0.013166285,0.017053934,0.013027008,11.811401,11.678344,,-0.568,5.21566074824387
3305860933598991104,3305871825637254912,67.8154958252843,10.703330766016288,21.617057315197762,21.502353250359086,104.53162699235997,-9.981458849004817,102.86729657313285,-10.75874061348103,0.21699204,0.14246601,0.033536315,0.022576666,17.599026,6.921069,,-0.5882,322.7488401329513
3312564037520033792,3312613000147191808,67.96911967367434,15.49937349658422,21.871807832755163,21.9411429349474,105.36486514556807,-24.24098903749085,103.60681970600949,-23.577862998495746,0.019464698,0.013876551,0.030827016,0.020381782,10.49808,11.270382,,,480.35275147649065
3334379344646313088,3334380100562482432,84.35362230920761,7.519742897240907,22.740228805545758,22.88763287967985,66.45870132757427,-57.85611397680867,67.06735148685203,-56.811551506546216,0.09774192,0.071916126,0.073708415,0.056948267,17.40806,16.955729,,,98.87161752400888
3352137964971294592,3352137964975002112,99.6850546475175,12.148182029256603,20.410427371215057,20.40557050302153,-48.21995126099245,0.383610772698795,-46.99012865577259,0.6939288812779961,0.023807777,0.020421844,0.017257892,0.014926287,12.776932,11.927823,,,5.878816805350601
3400695873081162112,3400695873081162496,81.87518406428902,18.844874440014653,22.598497037199056,22.482944287490078,52.57491644891013,-340.4100077804774,53.02190463637288,-345.9169011228062,0.056555938,0.038253803,0.017178304,0.012201306,13.844947,9.319967,,-0.2418,3.0205630227737372
3410453489022728576,3410453489023420416,68.42662834627303,19.013283769225044,20.302634235467437,20.871118754097125,102.06974639555295,-31.88431589005483,99.964197711193,-33.840798294853116,0.36573476,0.2928667,0.021887966,0.015375534,18.51686,10.271567,,,5.42202958821855
3488140926190177536,3488140926190177664,182.38450350968293,-26.41081808225257,25.862376492305124,25.802093398367496,36.699383654481835,-161.196280407595,41.05846733940013,-161.77919193310086,0.017393807,0.016457682,0.020435259,0.018930744,10.740234,13.554067,,-0.6611,7.465559775415708
3715937504714734976,3715937882671184128,200.18013869210543,4.133841214602927,33.00831563177017,32.3992390718106,-506.7855012544741,201.40448353329032,-505.48501052101096,205.68119421197204,0.03634535,0.017918007,0.7752266,0.6243172,8.329803,20.270418,0.0609,,66.48439341804949
3778569191725543296,3778570737913769216,155.212101334883,-6.577916905077849,31.780807064228267,31.838775933637365,-182.45543612849903,-25.2098303752223,-183.9452901083285,-25.159383493693305,0.023913177,0.02376443,0.024514664,0.02326999,13.601314,13.560667,,-0.7583,87.3194640208679
3788190605663811840,3788194488314248832,167.02700102170718,-5.231714230768854,40.179551209031494,40.29254567586476,-55.02658556026017,-439.73693754007235,-55.54712736023212,-442.6339498212537,0.026209706,0.020938637,0.031298317,0.027818928,11.472005,13.09057,-0.8252,,278.9960031602199
3797578476459716992,3797578545179193984,173.05460329196035,0.6074623373061725,23.84082668159046,23.861563984541164,219.3365976174548,-346.64095175377435,219.18980468393565,-349.3005205682286,0.033210598,0.024935015,0.023911074,0.01734253,14.802519,11.322439,-0.2227,,34.177255205383034
